company,ticker,region,industry,segment,sub_bucket,included,upside_to_pt,downside_to_bear,upside_to_bull,bull_bear_skew,prob_3m_base,prob_3m_bull,prob_12m_base,prob_12m_bull
Shanghai Fudan Microelectronics,1385.HK,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.0761718750000001,-0.57421875,0.29296875,0.5102040816326531,,,,
SICC Co Ltd,688234.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.264576939938623,-0.455282770714599,0.144234984655853,0.3168030813673573,,,,
StarPower Semiconductor Ltd,603290.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.00114155251141557,-0.54337899543379,0.341324200913242,0.6281512605042017,,,,
Unigroup Guoxin Microelectronics Co Ltd,002049.SZ,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.264421215640728,-0.612853271389857,0.290489095367144,0.47399452516319185,,,,
Universal Scientific Ind. (Shanghai),601231.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.00987654320987652,-0.444444444444444,0.165432098765432,0.3722222222222224,,,,
Yangjie Technology,300373.SZ,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.0273173009572729,-0.597244921783796,0.313331776791968,0.524628616106333,,,,
Aoi Electronics,6832.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.1,-0.5,0.266666666666667,0.533333333333334,,,,
Asahi Diamond Industrial,6140.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.229422066549912,-0.448336252189142,0.138353765323993,0.3085937499999999,,,,
Cosel,6905.T,Japan,Mid Small Cap/Manufacturer,Server Components,Power Supply,True,0.00840336134453779,-0.411764705882353,1.18487394957983,2.8775510204081582,,,,
Daihen,6622.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.0600144613159798,-0.558929862617498,0.156905278380333,0.28072445019404996,,,,
Elecom,6750.T,Japan,Mid Small Cap/Manufacturer,,,False,0.260022909507446,-0.255441008018328,0.832760595647194,3.2600896860986515,,,,
eREX,9517.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.00439238653001461,-0.341142020497804,0.610541727672035,1.789699570815449,,,,
Ferrotec,6890.T,Japan,Mid Small Cap/Manufacturer,Semi Production,Semi Capital Equipment,True,0.194267515923567,-0.585987261146497,0.592356687898089,1.0108695652173907,,,,
Fujibo Holdings,3104.T,Japan,Mid Small Cap/Manufacturer,,,False,0.0628019323671498,-0.516908212560387,0.352657004830918,0.6822429906542051,,,,
Fuso Chemical,4368.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.00881057268722463,-0.614537444933921,0.211453744493392,0.34408602150537604,,,,
Giken,6289.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.311531841652324,-0.526678141135972,-0.0533562822719449,-0.10130718954248372,,,,
Japan Material,6055.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.0838958534233365,-0.55159112825458,0.108968177434908,0.19755244755244702,,,,
MEC,4971.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.00887573964497046,-0.733727810650888,0.346153846153846,0.47177419354838657,,,,
Micronics Japan,6871.T,Japan,Mid Small Cap/Manufacturer,Semi Production,Semi Capital Equipment,True,-0.224489795918367,-0.66530612244898,0.142857142857143,0.21472392638036816,,,,
Mitsui High-tec,6966.T,Japan,Mid Small Cap/Manufacturer,,,False,0.100244498777506,-0.21760391198044,0.9559902200489,4.3932584269662955,,,,
Nissha,7915.T,Japan,Mid Small Cap/Manufacturer,,,False,0.0727969348659003,-0.448275862068966,0.839080459770115,1.8717948717948698,,,,
Nitto Boseki,3110.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.156908665105386,-0.765807962529274,0.17096018735363,0.2232415902140673,,,,
Osaka Organic Chemical Industry,4187.T,Japan,Mid Small Cap/Manufacturer,,,False,0.148648648648649,-0.414414414414414,0.418918918918919,1.0108695652173925,,,,
Sanken Electric,6707.T,Japan,Mid Small Cap/Manufacturer,Server Components,Power Supply,True,-0.351126346718903,-0.485798237022527,0.83643486777669,1.7217741935483877,,,,
Sanyo Denki,6516.T,Japan,Mid Small Cap/Manufacturer,Server Components,Thermal Solution,True,-0.0937178166838311,-0.299691040164779,0.25643666323378,0.8556701030927837,,,,
Taiyo Holdings,4626.T,Japan,Mid Small Cap/Manufacturer,Semi Production,Semi Capital Equipment,True,-0.166364624864081,-0.438202247191011,0.250453062703878,0.5715467328370553,,,,
Tamura,6768.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.0989660265878878,-0.409158050221566,0.477104874446086,1.1660649819494586,,,,
Tokyo Seimitsu,7729.T,Japan,Mid Small Cap/Manufacturer,Semi Production,Semi Capital Equipment,True,-0.0998766954377311,-0.69173859432799,0.066584463625154,0.09625668449197843,,,,
Towa,6315.T,Japan,Mid Small Cap/Manufacturer,Semi Production,Semi Capital Equipment,True,-0.0925589836660617,-0.673321234119782,0.306715063520871,0.4555256064690027,,,,
Toyo Gosei,4970.T,Japan,Mid Small Cap/Manufacturer,,,False,-0.0917516218721038,-0.657089898053753,0.297497683039852,0.45275035260930974,,,,
