date,trailing_pe,source
2019-08-01,21.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-09-01,22.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-10-01,22.04,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-11-01,22.62,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2019-12-01,22.78,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-01-01,24.88,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-02-01,26.42,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-03-01,22.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-04-01,24.97,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-05-01,27.82,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-06-01,31.29,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-07-01,32.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-08-01,34.41,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-09-01,34.27,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-10-01,35.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-11-01,37.16,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2020-12-01,39.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-01-01,35.96,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-02-01,33.24,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-03-01,30.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-04-01,29.92,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-05-01,28.05,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-06-01,26.7,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-07-01,26.56,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-08-01,26.22,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-09-01,25.34,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-10-01,24.39,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-11-01,24.51,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
2021-12-01,23.63,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
